"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
49.9,50.1,"<b>Gesetz über die Ombudsstelle (Ombudsgesetz)</b><br>Es sind alle Gemeinden ausgezählt.","<b>NA</b><br>Toutes les communes sont connues.","<b>NA</b><br>Tutti i comuni sono noti."
47.6,52.4,"<b>Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg; Verpflichtungskredit</b><br>Es sind alle Gemeinden ausgezählt.","<b>NA</b><br>Toutes les communes sont connues.","<b>NA</b><br>Tutti i comuni sono noti."
32.1,67.9,"<b>Aargauische Volksinitiative ""Klimaschutz braucht Initiative! (Aargauische Klimaschutzinitiative)""</b><br>Es sind alle Gemeinden ausgezählt.","<b>NA</b><br>Toutes les communes sont connues.","<b>NA</b><br>Tutti i comuni sono noti."
