"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
4040,29.4,29.4,70.6,"Spreitenbach AG","Spreitenbach (AG)","Spreitenbach AG","Spreitenbach hat die Aargauische Klimaschutzinitiative mit 70,6 Prozent abgelehnt.",,
4041,27.3,27.3,72.7,"Stetten AG","Stetten (AG)","Stetten AG","Stetten AG hat die Aargauische Klimaschutzinitiative mit 72,7 Prozent abgelehnt.",,
4042,44.9,44.9,55.1,"Turgi AG","Turgi (AG)","Turgi AG","Nein zur Aargauische Klimaschutzinitiative in Turgi: 55,1 Prozent haben das Begehren abgelehnt.",,
4044,36.3,36.3,63.7,"Untersiggenthal AG","Untersiggenthal (AG)","Untersiggenthal AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Untersiggenthal. 63,7 Prozent haben sie verworfen.",,
4045,50,0,0,"Wettingen AG","Wettingen (AG)","Wettingen AG","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
4046,31.9,31.9,68.1,"Wohlenschwil AG","Wohlenschwil (AG)","Wohlenschwil AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Wohlenschwil. 68,1 Prozent haben sie verworfen.",,
4047,27.3,27.3,72.7,"Würenlingen AG","Würenlingen (AG)","Würenlingen AG","Nein zur Aargauische Klimaschutzinitiative in Würenlingen: 72,7 Prozent haben das Begehren abgelehnt.",,
4048,30.3,30.3,69.7,"Würenlos AG","Würenlos (AG)","Würenlos AG","Würenlos hat die Aargauische Klimaschutzinitiative mit 69,7 Prozent abgelehnt.",,
4049,50,0,0,"Ehrendingen AG","Ehrendingen (AG)","Ehrendingen AG","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
4061,30.5,30.5,69.5,"Arni AG","Arni (AG)","Arni AG","Arni AG hat die Aargauische Klimaschutzinitiative mit 69,5 Prozent abgelehnt.",,
4062,29.5,29.5,70.5,"Berikon AG","Berikon (AG)","Berikon AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Berikon. 70,5 Prozent haben sie verworfen.",,
4063,38,38,62,"Bremgarten AG","Bremgarten (AG)","Bremgarten AG","Nein zur Aargauische Klimaschutzinitiative in Bremgarten AG: 62 Prozent haben das Begehren abgelehnt.",,
4064,19.6,19.6,80.4,"Büttikon AG","Büttikon (AG)","Büttikon AG","Nein zur Aargauische Klimaschutzinitiative in Büttikon: 80,4 Prozent haben das Begehren abgelehnt.",,
4065,22.9,22.9,77.1,"Dottikon AG","Dottikon (AG)","Dottikon AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Dottikon. 77,1 Prozent haben sie verworfen.",,
4066,28,28,72,"Eggenwil AG","Eggenwil (AG)","Eggenwil AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Eggenwil. 72 Prozent haben sie verworfen.",,
4067,24.3,24.3,75.7,"Fischbach-Göslikon AG","Fischbach-Göslikon (AG)","Fischbach-Göslikon AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Fischbach-Göslikon. 75,7 Prozent haben sie verworfen.",,
4068,28.8,28.8,71.2,"Hägglingen AG","Hägglingen (AG)","Hägglingen AG","Nein zur Aargauische Klimaschutzinitiative in Hägglingen: 71,2 Prozent haben das Begehren abgelehnt.",,
4071,31.1,31.1,68.9,"Jonen AG","Jonen (AG)","Jonen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Jonen. 68,9 Prozent haben sie verworfen.",,
4072,22.9,22.9,77.1,"Niederwil AG","Niederwil (AG)","Niederwil AG","Niederwil AG hat die Aargauische Klimaschutzinitiative mit 77,1 Prozent abgelehnt.",,
4073,28.1,28.1,71.9,"Oberlunkhofen AG","Oberlunkhofen (AG)","Oberlunkhofen AG","Nein zur Aargauische Klimaschutzinitiative in Oberlunkhofen: 71,9 Prozent haben das Begehren abgelehnt.",,
4074,29.2,29.2,70.8,"Oberwil-Lieli AG","Oberwil-Lieli (AG)","Oberwil-Lieli AG","Oberwil-Lieli hat die Aargauische Klimaschutzinitiative mit 70,8 Prozent abgelehnt.",,
4075,32.4,32.4,67.6,"Rudolfstetten-Friedlisberg AG","Rudolfstetten-Friedlisberg (AG)","Rudolfstetten-Friedlisberg AG","Nein zur Aargauische Klimaschutzinitiative in Rudolfstetten-Friedlisberg: 67,6 Prozent haben das Begehren abgelehnt.",,
4076,25.2,25.2,74.8,"Sarmenstorf AG","Sarmenstorf (AG)","Sarmenstorf AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Sarmenstorf. 74,8 Prozent haben sie verworfen.",,
4077,25.6,25.6,74.4,"Tägerig AG","Tägerig (AG)","Tägerig AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Tägerig. 74,4 Prozent haben sie verworfen.",,
