"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
4228,22.9,22.9,77.1,"Boswil AG","Boswil (AG)","Boswil AG","Nein zur Aargauische Klimaschutzinitiative in Boswil: 77,1 Prozent haben das Begehren abgelehnt.",,
4229,28.7,28.7,71.3,"Bünzen AG","Bünzen (AG)","Bünzen AG","Bünzen hat die Aargauische Klimaschutzinitiative mit 71,3 Prozent abgelehnt.",,
4230,28.7,28.7,71.3,"Buttwil AG","Buttwil (AG)","Buttwil AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Buttwil. 71,3 Prozent haben sie verworfen.",,
4231,18.3,18.3,81.7,"Dietwil AG","Dietwil (AG)","Dietwil AG","Dietwil hat die Aargauische Klimaschutzinitiative mit 81,7 Prozent abgelehnt.",,
4232,19.7,19.7,80.3,"Geltwil AG","Geltwil (AG)","Geltwil AG","Die Aargauische Klimaschutzinitiative ist in Geltwil mit 53 zu 13 Stimmen abgelehnt worden.",,
4233,33.9,33.9,66.1,"Kallern AG","Kallern (AG)","Kallern AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Kallern. 66,1 Prozent haben sie verworfen.",,
4234,25.1,25.1,74.9,"Merenschwand AG","Merenschwand (AG)","Merenschwand AG","Merenschwand hat die Aargauische Klimaschutzinitiative mit 74,9 Prozent abgelehnt.",,
4235,26.2,26.2,73.8,"Mühlau AG","Mühlau (AG)","Mühlau AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Mühlau. 73,8 Prozent haben sie verworfen.",,
4236,34.2,34.2,65.8,"Muri AG","Muri (AG)","Muri AG","Muri AG hat die Aargauische Klimaschutzinitiative mit 65,8 Prozent abgelehnt.",,
4237,29.8,29.8,70.2,"Oberrüti AG","Oberrüti (AG)","Oberrüti AG","Nein zur Aargauische Klimaschutzinitiative in Oberrüti: 70,2 Prozent haben das Begehren abgelehnt.",,
4238,20,20,80,"Rottenschwil AG","Rottenschwil (AG)","Rottenschwil AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Rottenschwil. 80 Prozent haben sie verworfen.",,
4239,24.1,24.1,75.9,"Sins AG","Sins (AG)","Sins AG","Nein zur Aargauische Klimaschutzinitiative in Sins: 75,9 Prozent haben das Begehren abgelehnt.",,
4240,26.7,26.7,73.3,"Waltenschwil AG","Waltenschwil (AG)","Waltenschwil AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Waltenschwil. 73,3 Prozent haben sie verworfen.",,
4251,22.5,22.5,77.5,"Hellikon AG","Hellikon (AG)","Hellikon AG","Nein zur Aargauische Klimaschutzinitiative in Hellikon: 77,5 Prozent haben das Begehren abgelehnt.",,
4252,34.6,34.6,65.4,"Kaiseraugst AG","Kaiseraugst (AG)","Kaiseraugst AG","Kaiseraugst hat die Aargauische Klimaschutzinitiative mit 65,4 Prozent abgelehnt.",,
4253,50,0,0,"Magden AG","Magden (AG)","Magden AG","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
4254,31.4,31.4,68.6,"Möhlin AG","Möhlin (AG)","Möhlin AG","Möhlin hat die Aargauische Klimaschutzinitiative mit 68,6 Prozent abgelehnt.",,
4255,22.8,22.8,77.2,"Mumpf AG","Mumpf (AG)","Mumpf AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Mumpf. 77,2 Prozent haben sie verworfen.",,
4256,31.4,31.4,68.6,"Obermumpf AG","Obermumpf (AG)","Obermumpf AG","Nein zur Aargauische Klimaschutzinitiative in Obermumpf: 68,6 Prozent haben das Begehren abgelehnt.",,
4257,31.3,31.3,68.7,"Olsberg AG","Olsberg (AG)","Olsberg AG","Olsberg hat die Aargauische Klimaschutzinitiative mit 68,7 Prozent abgelehnt.",,
4258,40,40,60,"Rheinfelden AG","Rheinfelden (AG)","Rheinfelden AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Rheinfelden. 60 Prozent haben sie verworfen.",,
4259,21.8,21.8,78.2,"Schupfart AG","Schupfart (AG)","Schupfart AG","Nein zur Aargauische Klimaschutzinitiative in Schupfart: 78,2 Prozent haben das Begehren abgelehnt.",,
4260,29.1,29.1,70.9,"Stein AG","Stein (AG)","Stein AG","Stein AG hat die Aargauische Klimaschutzinitiative mit 70,9 Prozent abgelehnt.",,
4261,28.2,28.2,71.8,"Wallbach AG","Wallbach (AG)","Wallbach AG","Nein zur Aargauische Klimaschutzinitiative in Wallbach: 71,8 Prozent haben das Begehren abgelehnt.",,
4262,28.9,28.9,71.1,"Wegenstetten AG","Wegenstetten (AG)","Wegenstetten AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Wegenstetten. 71,1 Prozent haben sie verworfen.",,
4263,30.1,30.1,69.9,"Zeiningen AG","Zeiningen (AG)","Zeiningen AG","Zeiningen hat die Aargauische Klimaschutzinitiative mit 69,9 Prozent abgelehnt.",,
4264,25.3,25.3,74.7,"Zuzgen AG","Zuzgen (AG)","Zuzgen AG","Nein zur Aargauische Klimaschutzinitiative in Zuzgen: 74,7 Prozent haben das Begehren abgelehnt.",,
4271,34.6,34.6,65.4,"Aarburg AG","Aarburg (AG)","Aarburg AG","Nein zur Aargauische Klimaschutzinitiative in Aarburg: 65,4 Prozent haben das Begehren abgelehnt.",,
4273,22.3,22.3,77.7,"Bottenwil AG","Bottenwil (AG)","Bottenwil AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Bottenwil. 77,7 Prozent haben sie verworfen.",,
4274,28.9,28.9,71.1,"Brittnau AG","Brittnau (AG)","Brittnau AG","Nein zur Aargauische Klimaschutzinitiative in Brittnau: 71,1 Prozent haben das Begehren abgelehnt.",,
4275,20.5,20.5,79.5,"Kirchleerau AG","Kirchleerau (AG)","Kirchleerau AG","Kirchleerau hat die Aargauische Klimaschutzinitiative mit 79,5 Prozent abgelehnt.",,
4276,28.4,28.4,71.6,"Kölliken AG","Kölliken (AG)","Kölliken AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Kölliken. 71,6 Prozent haben sie verworfen.",,
4277,18.6,18.6,81.4,"Moosleerau AG","Moosleerau (AG)","Moosleerau AG","Moosleerau hat die Aargauische Klimaschutzinitiative mit 81,4 Prozent abgelehnt.",,
4279,21,21,79,"Murgenthal AG","Murgenthal (AG)","Murgenthal AG","Nein zur Aargauische Klimaschutzinitiative in Murgenthal: 79 Prozent haben das Begehren abgelehnt.",,
4280,31.6,31.6,68.4,"Oftringen AG","Oftringen (AG)","Oftringen AG","Oftringen hat die Aargauische Klimaschutzinitiative mit 68,4 Prozent abgelehnt.",,
4281,19.3,19.3,80.7,"Reitnau AG","Reitnau (AG)","Reitnau AG","Nein zur Aargauische Klimaschutzinitiative in Reitnau: 80,7 Prozent haben das Begehren abgelehnt.",,
4282,24.7,24.7,75.3,"Rothrist AG","Rothrist (AG)","Rothrist AG","Rothrist hat die Aargauische Klimaschutzinitiative mit 75,3 Prozent abgelehnt.",,
4283,25.3,25.3,74.7,"Safenwil AG","Safenwil (AG)","Safenwil AG","Nein zur Aargauische Klimaschutzinitiative in Safenwil: 74,7 Prozent haben das Begehren abgelehnt.",,
4284,17.2,17.2,82.8,"Staffelbach AG","Staffelbach (AG)","Staffelbach AG","Staffelbach hat die Aargauische Klimaschutzinitiative mit 82,8 Prozent abgelehnt.",,
4285,28.3,28.3,71.7,"Strengelbach AG","Strengelbach (AG)","Strengelbach AG","Nein zur Aargauische Klimaschutzinitiative in Strengelbach: 71,7 Prozent haben das Begehren abgelehnt.",,
4286,16.9,16.9,83.1,"Uerkheim AG","Uerkheim (AG)","Uerkheim AG","Nein zur Aargauische Klimaschutzinitiative in Uerkheim: 83,1 Prozent haben das Begehren abgelehnt.",,
4287,26.2,26.2,73.8,"Vordemwald AG","Vordemwald (AG)","Vordemwald AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Vordemwald. 73,8 Prozent haben sie verworfen.",,
4288,26.4,26.4,73.6,"Wiliberg AG","Wiliberg (AG)","Wiliberg AG","Die Aargauische Klimaschutzinitiative ist in Wiliberg mit 53 zu 19 Stimmen abgelehnt worden.",,
4289,39.5,39.5,60.5,"Zofingen AG","Zofingue (AG)","Zofingen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Zofingen. 60,5 Prozent haben sie verworfen.",,
4303,18.1,18.1,81.9,"Böttstein AG","Böttstein (AG)","Böttstein AG","Böttstein hat die Aargauische Klimaschutzinitiative mit 81,9 Prozent abgelehnt.",,
4304,25.9,25.9,74.1,"Döttingen AG","Döttingen (AG)","Döttingen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Döttingen. 74,1 Prozent haben sie verworfen.",,
4305,32.4,32.4,67.6,"Endingen AG","Endingen (AG)","Endingen AG","Nein zur Aargauische Klimaschutzinitiative in Endingen: 67,6 Prozent haben das Begehren abgelehnt.",,
4306,23.3,23.3,76.7,"Fisibach AG","Fisibach (AG)","Fisibach AG","Nein zur Aargauische Klimaschutzinitiative in Fisibach: 76,7 Prozent haben das Begehren abgelehnt.",,
4307,22.4,22.4,77.6,"Full-Reuenthal AG","Full-Reuenthal (AG)","Full-Reuenthal AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Full-Reuenthal. 77,6 Prozent haben sie verworfen.",,
4309,29.1,29.1,70.9,"Klingnau AG","Klingnau (AG)","Klingnau AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Klingnau. 70,9 Prozent haben sie verworfen.",,
4310,33,33,67,"Koblenz AG","Koblenz (AG)","Koblenz AG","Nein zur Aargauische Klimaschutzinitiative in Koblenz: 67 Prozent haben das Begehren abgelehnt.",,
4311,16.3,16.3,83.7,"Leibstadt AG","Leibstadt (AG)","Leibstadt AG","Leibstadt hat die Aargauische Klimaschutzinitiative mit 83,7 Prozent abgelehnt.",,
4312,28.8,28.8,71.2,"Lengnau AG","Lengnau (AG)","Lengnau AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Lengnau AG. 71,2 Prozent haben sie verworfen.",,
4313,22.9,22.9,77.1,"Leuggern AG","Leuggern (AG)","Leuggern AG","Nein zur Aargauische Klimaschutzinitiative in Leuggern: 77,1 Prozent haben das Begehren abgelehnt.",,
4314,36.4,36.4,63.6,"Mellikon AG","Mellikon (AG)","Mellikon AG","Die Aargauische Klimaschutzinitiative ist in Mellikon mit 56 zu 32 Stimmen abgelehnt worden.",,
4318,28,28,72,"Schneisingen AG","Schneisingen (AG)","Schneisingen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Schneisingen. 72 Prozent haben sie verworfen.",,
4319,23.8,23.8,76.2,"Siglistorf AG","Siglistorf (AG)","Siglistorf AG","Nein zur Aargauische Klimaschutzinitiative in Siglistorf: 76,2 Prozent haben das Begehren abgelehnt.",,
4320,24.5,24.5,75.5,"Tegerfelden AG","Tegerfelden (AG)","Tegerfelden AG","Tegerfelden hat die Aargauische Klimaschutzinitiative mit 75,5 Prozent abgelehnt.",,
4324,30.9,30.9,69.1,"Zurzach AG","Zurzach (AG)","Zurzach AG","Zurzach hat die Aargauische Klimaschutzinitiative mit 69,1 Prozent abgelehnt.",,
