"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
6702,91.3,91.3,8.7,"Boécourt JU","Boécourt (JU)","Boécourt JU",,"C'est oui à 91,3 pour cent à la modification de la Constitution qui permet de destituer les membres du gouvernement à Boécourt. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6703,93.2,93.2,6.8,"Bourrignon JU","Bourrignon (JU)","Bourrignon JU",,"La modification de la Constitution qui permet de destituer les membres du gouvernement passe la rampe à Bourrignon. Les habitants de cette petite commune sont 82 à dire oui à cette nouvelle disposition, qui vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6704,89.2,89.2,10.8,"Châtillon JU","Châtillon (JU)","Châtillon JU",,"Les habitants de Châtillon (JU) ont approuvé avec 89,2 pour cent des voix une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6706,87.7,87.7,12.3,"Courchapoix JU","Courchapoix (JU)","Courchapoix JU",,"C'est oui à 87,7 pour cent à la modification de la Constitution qui permet de destituer les membres du gouvernement à Courchapoix. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6708,87.8,87.8,12.2,"Courrendlin JU","Courrendlin (JU)","Courrendlin JU",,"Les habitants de Courrendlin ont approuvé avec 87,8 pour cent des voix une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6709,91.5,91.5,8.5,"Courroux JU","Courroux (JU)","Courroux JU",,"C'est oui à 91,5 pour cent à la modification de la Constitution qui permet de destituer les membres du gouvernement à Courroux. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6710,50,0,0,"Courtételle JU","Courtételle (JU)","Courtételle JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6711,50,0,0,"Delsberg JU","Delémont (JU)","Delsberg JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6712,87,87,13,"Develier JU","Develier (JU)","Develier JU",,"Les habitants de Develier acceptent avec 87 pour cent de oui une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6713,78.4,78.4,21.6,"Ederswiler JU","Ederswiler (JU)","Ederswiler JU",,"La modification de la Constitution qui permet de destituer les membres du gouvernement passe la rampe à Ederswiler. Les habitants de cette petite commune sont 29 à dire oui à cette nouvelle disposition, qui vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6715,91.8,91.8,8.2,"Mervelier JU","Mervelier (JU)","Mervelier JU",,"Les habitants de Mervelier ont approuvé avec 91,8 pour cent des voix une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6716,50,0,0,"Mettembert JU","Mettembert (JU)","Mettembert JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6718,80.2,80.2,19.8,"Movelier JU","Movelier (JU)","Movelier JU",,"La modification de la Constitution qui permet de destituer les membres du gouvernement passe la rampe à Movelier. Les habitants de cette petite commune sont 69 à dire oui à cette nouvelle disposition, qui vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6719,50,0,0,"Pleigne JU","Pleigne (JU)","Pleigne JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6721,87.1,87.1,12.9,"Rossemaison JU","Rossemaison (JU)","Rossemaison JU",,"Les habitants de Rossemaison acceptent avec 87,1 pour cent de oui une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6722,50,0,0,"Saulcy JU","Saulcy (JU)","Saulcy JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6724,87.1,87.1,12.9,"Soyhières JU","Soyhières (JU)","Soyhières JU",,"La modification de la Constitution qui permet de destituer les membres du gouvernement passe la rampe à Soyhières. Les habitants de cette petite commune sont 81 à dire oui à cette nouvelle disposition, qui vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6729,50,0,0,"Haute-Sorne JU","Haute-Sorne (JU)","Haute-Sorne JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6730,89.3,89.3,10.7,"Val Terbi JU","Val Terbi (JU)","Val Terbi JU",,"Les habitants de Val Terbi ont approuvé avec 89,3 pour cent des voix une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6741,50,0,0,"Le Bémont JU","Le Bémont (JU)","Le Bémont JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6742,50,0,0,"Les Bois JU","Les Bois (JU)","Les Bois JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6743,50,0,0,"Les Breuleux JU","Les Breuleux (JU)","Les Breuleux JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6745,80.7,80.7,19.3,"Les Enfers JU","Les Enfers (JU)","Les Enfers JU",,"La modification de la Constitution qui permet de destituer les membres du gouvernement passe la rampe aux Enfers. Les habitants de cette petite commune sont 46 à dire oui à cette nouvelle disposition, qui vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6748,90.5,90.5,9.5,"Les Genevez JU","Les Genevez (JU)","Les Genevez JU",,"Les habitants des Genevez (JU) ont approuvé avec 90,5 pour cent des voix une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6750,50,0,0,"Lajoux JU","Lajoux (JU)","Lajoux JU","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
6751,87.2,87.2,12.8,"Montfaucon JU","Montfaucon (JU)","Montfaucon JU",,"Les habitants de Montfaucon acceptent avec 87,2 pour cent de oui une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
6753,88.4,88.4,11.6,"Muriaux JU","Muriaux (JU)","Muriaux JU",,"Les habitants de Muriaux ont approuvé avec 88,4 pour cent des voix une modification de la Constitution qui permet de destituer les membres du gouvernement. La nouvelle disposition vise aussi les membres des exécutifs communaux, ainsi que les magistrats.",
