"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
56.2,43.8,"<b>NA</b><br>96 von 106 Gemeinden ausgezählt (90.6%)","<b>NA</b><br>96 des 106 communes sont connus (90.6%)","<b>Modifica della legge sull’apertura dei negozi</b><br>96 dei 106 comuni sono noti (90.6%)"
53.3,46.7,"<b>NA</b><br>96 von 106 Gemeinden ausgezählt (90.6%)","<b>NA</b><br>96 des 106 communes sont connus (90.6%)","<b>Modifica della legge tributaria</b><br>96 dei 106 comuni sono noti (90.6%)"
